Axis,Target Group,Attribute,a1,a2,a3
Caste,Chardo,hardworking,1,1,0
Caste,Chardo,simple-minded,1,0,0
Caste,Chardo,generous,0,0,0
Caste,Chardo,festive,1,1,1
Caste,Chardo,poverty-stricken,0,0,0
Caste,Chardo,traditional,1,1,1
Caste,Chardo,uneducated,0,0,0
Caste,Chardo,community-oriented,1,0,1
Caste,Chardo,superstitious,1,1,1
Caste,Chardo,mischievous,0,0,1
Caste,Bamon,well-educated,1,1,1
Caste,Bamon,arrogant,1,0,1
Caste,Bamon,wealthy,1,1,1
Caste,Bamon,culturally refined,1,1,0
Caste,Bamon,elitist,1,0,1
Caste,Bamon,business-minded,1,1,1
Caste,Bamon,overly traditional,1,1,0
Caste,Bamon,s0bbish,1,1,1
Caste,Bamon,status-conscious,1,0,1
Caste,GSB (Goud Saraswat Brahmin),Well-educated,1,1,1
Caste,GSB (Goud Saraswat Brahmin),Culturally rich,1,1,1
Caste,GSB (Goud Saraswat Brahmin),Traditional,1,1,1
Caste,GSB (Goud Saraswat Brahmin),Conservative,1,1,1
Caste,GSB (Goud Saraswat Brahmin),Money-minded,1,1,0
Caste,GSB (Goud Saraswat Brahmin),Clannish,1,1,1
Caste,GSB (Goud Saraswat Brahmin),Proud of heritage,1,1,1
Caste,GSB (Goud Saraswat Brahmin),S0bbish,1,0,0
Caste,GSB (Goud Saraswat Brahmin),Punctual,0,1,1
Caste,GSB (Goud Saraswat Brahmin),Religious,1,1,1
Caste,Sudhirs,hardworking,1,1,1
Caste,Sudhirs,simple-minded,1,1,1
Caste,Sudhirs,down-to-earth,1,1,1
Caste,Sudhirs,servile,1,1,1
Caste,Sudhirs,community-oriented,1,1,0
Caste,Sudhirs,unambitious,1,0,0
Caste,Sudhirs,loyal,1,1,1
Caste,Sudhirs,less educated,1,1,1
Caste,Sudhirs,culturally rich,0,1,1
Caste,Sudhirs,submissive,1,1,1
Caste,Kshatriyas,brave warriors,0,1,0
Caste,Kshatriyas,proud and 0ble,1,1,0
Caste,Kshatriyas,arrogant and domineering,1,1,0
Caste,Kshatriyas,traditional and conservative,1,1,1
Caste,Kshatriyas,protectors of the land,0,1,1
Caste,Kshatriyas,wealthy landowners,0,0,0
Caste,Kshatriyas,impulsive and hot-headed,1,1,1
Caste,Kshatriyas,respected leaders in the community,1,1,1
Caste,Kshatriyas,military-minded,1,0,0
Caste,Kshatriyas,inflexible in their beliefs,1,0,0
Caste,Vaishyas,business-minded,1,1,0
Caste,Vaishyas,materialistic,0,1,1
Caste,Vaishyas,prosperous traders,1,1,0
Caste,Vaishyas,cunning negotiators,1,1,0
Caste,Vaishyas,exploitative,1,1,0
Caste,Vaishyas,wealthy landowners,1,1,0
Caste,Vaishyas,shrewd investors,1,1,1
Caste,Vaishyas,cultural patrons,1,0,1
Caste,Vaishyas,social climbers,1,1,1
Caste,Gaudas (Indige0us Community),Original inhabitants (Sons of the soil),1,1,1
Caste,Gaudas (Indige0us Community),Simple and naive,1,1,1
Caste,Gaudas (Indige0us Community),Hardworking agriculturists,1,1,1
Caste,Gaudas (Indige0us Community),Rich tribal heritage,1,1,1
Caste,Gaudas (Indige0us Community),Feni lovers,0,0,1
Caste,Gaudas (Indige0us Community),Community-oriented,1,1,0
Caste,Gaudas (Indige0us Community),Traditional (Zagor festivals),1,1,1
Caste,Gaudas (Indige0us Community),Eco0mically backward,0,1,1
Caste,Gaudas (Indige0us Community),Distinctive attire (Kunbi saree),0,1,1
Caste,Gaudas (Indige0us Community),Resilient,1,1,0
Caste,Kharvis (Fishing Community),Hot-headed / Short-tempered,1,1,1
Caste,Kharvis (Fishing Community),Loud and boisterous,1,1,1
Caste,Kharvis (Fishing Community),Risk-takers,1,1,0
Caste,Kharvis (Fishing Community),Wealthy (Trawler owners),1,1,0
Caste,Kharvis (Fishing Community),Fiercely united / Clannish,1,1,1
Caste,Kharvis (Fishing Community),Superstitious,1,1,
Caste,Kharvis (Fishing Community),Politically influential,0,0,1
Caste,Kharvis (Fishing Community),Aggressive,1,1,1
Caste,Kharvis (Fishing Community),Hardworking,1,1,1
Caste,Kharvis (Fishing Community),Generous,0,1,1
Language,English Speakers,Educated,1,1,0
Language,English Speakers,Globalized,1,1,1
Language,English Speakers,S0bbish,1,1,0
Language,English Speakers,Culturally disconnected,1,1,1
Language,English Speakers,Fluent,0,1,0
Language,English Speakers,Pretentious,1,1,1
Language,English Speakers,Open-minded,1,1,0
Language,English Speakers,Westernized,1,1,1
Language,English Speakers,Overconfident,1,1,1
Language,English Speakers,Tourist-like,1,1,1
Language,Konkani Speakers,Warm and hospitable,1,1,1
Language,Konkani Speakers,Culturally rich,1,1,1
Language,Konkani Speakers,Language purists,0,0,1
Language,Konkani Speakers,Loud and boisterous,1,1,1
Language,Konkani Speakers,Proud of their heritage,1,1,1
Language,Konkani Speakers,Less educated,0,0,1
Language,Konkani Speakers,Religious and superstitious,0,1,1
Language,Konkani Speakers,Friendly and community-oriented,1,1,1
Language,Konkani Speakers,Stubborn about language,1,0,0
Language,Konkani Speakers,Slow to adapt to change,0,1,1
Language,Devanagari Konkani Speakers,Culturally rich,1,0,1
Language,Devanagari Konkani Speakers,Proud of their heritage,1,1,1
Language,Devanagari Konkani Speakers,Traditionalist,1,1,1
Language,Devanagari Konkani Speakers,Insular,1,1,1
Language,Devanagari Konkani Speakers,Conservative,1,1,1
Language,Devanagari Konkani Speakers,Resistant to change,1,1,0
Language,Devanagari Konkani Speakers,Warm and welcoming,1,1,1
Language,Devanagari Konkani Speakers,Religious,1,1,1
Language,Devanagari Konkani Speakers,Overly emotional,1,1,1
Language,Devanagari Konkani Speakers,Language purists,0,0,1
Language,Devanagari Konkani Speakers,Derivative of Marathi,0,1,1
Language,Romi Konkani Speakers,Cultural custodians,1,1,1
Language,Romi Konkani Speakers,Proud of their heritage,1,1,1
Language,Romi Konkani Speakers,Traditional yet modern,1,1,1
Language,Romi Konkani Speakers,Loud and expressive,1,1,1
Language,Romi Konkani Speakers,Language purists,1,0,0
Language,Romi Konkani Speakers,Close-knit community,1,1,1
Language,Romi Konkani Speakers,Resistant to change,1,1,1
Language,Romi Konkani Speakers,Overly sentimental about history,1,1,1
Language,Romi Konkani Speakers,Religious but secular-minded,1,0,1
Language,Romi Konkani Speakers,Struggle with identity,1,0,0
Language,Sashti (Xashti) Dialect Speakers,Musical / Sing-song accent,1,1,1
Language,Sashti (Xashti) Dialect Speakers,Loud and boisterous,1,1,1
Language,Sashti (Xashti) Dialect Speakers,Mischievous / Cunning,1,1,1
Language,Sashti (Xashti) Dialect Speakers,Theatrical / Dramatic,1,1,1
Language,Sashti (Xashti) Dialect Speakers,Unapologetically rustic,1,1,1
Language,Sashti (Xashti) Dialect Speakers,Sharp-tongued,1,1,1
Language,Marathi Speakers,Hardworking,1,1,0
Language,Marathi Speakers,Traditional,1,1,1
Language,Marathi Speakers,Culturally rich,1,1,1
Language,Marathi Speakers,Conservative,1,1,1
Language,Marathi Speakers,Proud of their heritage,1,1,1
Language,Marathi Speakers,Clannish,1,1,1
Language,Marathi Speakers,Resistant to change,1,1,0
Language,Marathi Speakers,Value education,1,1,1
Language,Marathi Speakers,Overly serious,1,1,1
Language,Marathi Speakers,Strong community ties,1,1,1
Language,Kannada Speakers,Hardworking,1,1,1
Language,Kannada Speakers,Intelligent,1,1,1
Language,Kannada Speakers,Proud of their culture,1,1,0
Language,Kannada Speakers,Clannish,1,1,1
Language,Kannada Speakers,Overly serious,1,1,1
Language,Kannada Speakers,Eco0mically savvy,1,1,1
Language,Kannada Speakers,Resistant to change,1,1,1
Language,Kannada Speakers,Friendly but reserved,1,0,1
Language,Kannada Speakers,Strong family values,1,1,0
Language,Kannada Speakers,Language purists,1,1,0
Language,Portuguese Speakers (Lusophones),Old money / Aristocratic,1,1,1
Language,Portuguese Speakers (Lusophones),Culturally refined,0,1,1
Language,Portuguese Speakers (Lusophones),0stalgic for the past (Saudade),1,1,1
Language,Portuguese Speakers (Lusophones),S0bbish / Elitist,1,1,0
Language,Portuguese Speakers (Lusophones),Disconnected from modern India,1,1,0
Language,Portuguese Speakers (Lusophones),Intellectuals,0,1,0
Language,Portuguese Speakers (Lusophones),Owners of ancestral mansions,1,1,1
Language,Portuguese Speakers (Lusophones),Colonial apologists,0,0,0
Language,Portuguese Speakers (Lusophones),Slow / Laid-back (Susegad),1,1,1
Language,Portuguese Speakers (Lusophones),Decreasing in number,1,1,1
Occupation,Fishermen (Nustekars),hardworking,1,1,1
Occupation,Fishermen (Nustekars),simple-minded,1,1,1
Occupation,Fishermen (Nustekars),rich in tradition,1,1,1
Occupation,Fishermen (Nustekars),stubborn,1,1,1
Occupation,Fishermen (Nustekars),community-oriented,1,1,1
Occupation,Fishermen (Nustekars),superstitious,1,1,1
Occupation,Fishermen (Nustekars),skilled craftsmen,1,1,1
Occupation,Fishermen (Nustekars),uneducated,1,1,1
Occupation,Fishermen (Nustekars),easy-going,1,1,0
Occupation,Fishermen (Nustekars),resourceful,1,1,1
Occupation,Hospitality Workers,Warm and welcoming,1,1,1
Occupation,Hospitality Workers,Always smiling,1,1,0
Occupation,Hospitality Workers,Inconsistent service,1,0,1
Occupation,Hospitality Workers,Overly laid-back,1,0,1
Occupation,Hospitality Workers,Friendly and chatty,1,1,0
Occupation,Hospitality Workers,Unprofessional behavior,1,0,0
Occupation,Hospitality Workers,Culturally aware,1,1,1
Occupation,Hospitality Workers,Work for tips,1,1,1
Occupation,Hospitality Workers,Multilingual communicators,0,0,0
Occupation,Hospitality Workers,Casual attitude towards work,1,0,0
Occupation,Landlords (Bhatkars),wealthy landowners,1,1,1
Occupation,Landlords (Bhatkars),traditional and conservative,1,1,1
Occupation,Landlords (Bhatkars),exploitative,1,1,1
Occupation,Landlords (Bhatkars),influential in local politics,1,1,1
Occupation,Landlords (Bhatkars),proud of heritage,1,1,1
Occupation,Landlords (Bhatkars),stingy with resources,1,1,1
Occupation,Landlords (Bhatkars),cultured and educated,1,0,0
Occupation,Landlords (Bhatkars),disconnected from the common people,1,1,0
Occupation,Landlords (Bhatkars),keepers of Goan customs,1,1,0
Occupation,Landlords (Bhatkars),arrogant and elitist,1,1,1
Occupation,Seafarers (Tarvottis),adventurous,1,1,1
Occupation,Seafarers (Tarvottis),hardworking,1,1,0
Occupation,Seafarers (Tarvottis),reckless,1,0,1
Occupation,Seafarers (Tarvottis),free-spirited,1,1,1
Occupation,Seafarers (Tarvottis),independent,1,1,1
Occupation,Seafarers (Tarvottis),irresponsible,0,1,0
Occupation,Seafarers (Tarvottis),wealthy,1,1,0
Occupation,Seafarers (Tarvottis),globe-trotters,1,1,0
Occupation,Seafarers (Tarvottis),carefree,1,1,0
Occupation,Seafarers (Tarvottis),distant from family,1,1,0
Occupation,Tenants (Mundkars),Subservient to landlords,0,1,0
Occupation,Tenants (Mundkars),Fearful of eviction,0,1,0
Occupation,Tenants (Mundkars),Hardworking laborers,0,1,0
Occupation,Tenants (Mundkars),Loyal to the Bhatkar,0,1,0
Occupation,Tenants (Mundkars),Exploited,1,1,1
Occupation,Tenants (Mundkars),Simple-minded,1,1,0
Occupation,Tenants (Mundkars),Dependent,1,1,0
Occupation,Tenants (Mundkars),Grateful,0,1,0
Occupation,Tenants (Mundkars),Resilient,1,1,1
Occupation,Tenants (Mundkars),Empowered by land rights,1,0,1
Occupation,Toddy Tappers (Rendus),Hardworking climbers,1,1,1
Occupation,Toddy Tappers (Rendus),Village drunkards,1,0,1
Occupation,Toddy Tappers (Rendus),Honest laborers,1,1,0
Occupation,Toddy Tappers (Rendus),Feni producers,1,1,1
Occupation,Toddy Tappers (Rendus),Risk-takers,1,1,1
Occupation,Toddy Tappers (Rendus),Uneducated,1,1,1
Occupation,Toddy Tappers (Rendus),Essential to village life,1,1,1
Occupation,Toddy Tappers (Rendus),Rough / Rugged,1,1,1
Occupation,Toddy Tappers (Rendus),Caste-proud (Bhandari),1,1,0
Occupation,Toddy Tappers (Rendus),Simple living,1,1,1
Occupation,Politicians (Goan),"Party-hoppers / ""Frogs"" (Defectors)",1,1,0
Occupation,Politicians (Goan),Land grabbers / Conversion agents,1,1,0
Occupation,Politicians (Goan),Driven by personal interest,1,1,1
Occupation,Politicians (Goan),Corrupt,1,1,1
Occupation,Politicians (Goan),Fake promises (Foti),1,1,1
Occupation,Politicians (Goan),Builder-lobby puppets,1,1,1
Occupation,Politicians (Goan),Vote buyers (Cash for votes),1,1,1
Occupation,Politicians (Goan),Opportunists,1,1,1
Occupation,Politicians (Goan),Inaccessible after elections,1,1,1
Occupation,Politicians (Goan),Dynastic (Family Raj),1,1,0
Occupation,Poders (Traditional Bakers),Punctual / Early risers,1,1,1
Occupation,Poders (Traditional Bakers),Hardworking,1,1,1
Occupation,Poders (Traditional Bakers),Business-minded,1,0,0
Occupation,Poders (Traditional Bakers),Essential to village life,1,1,1
Occupation,Poders (Traditional Bakers),Friendly / Chatty,1,1,1
Occupation,Poders (Traditional Bakers),Traditional,1,1,0
Occupation,Poders (Traditional Bakers),Honest,1,1,0
Occupation,Poders (Traditional Bakers),Loud (Horn honking),1,1,1
Occupation,Poders (Traditional Bakers),Simple living,1,1,1
Occupation,Poders (Traditional Bakers),Community-oriented,1,1,1
Religion,Catholics,festive,1,1,1
Religion,Catholics,devout,1,1,0
Religion,Catholics,community-oriented,1,1,1
Religion,Catholics,overly traditional,1,0,0
Religion,Catholics,party-loving,1,1,1
Religion,Catholics,culturally rich,1,1,1
Religion,Catholics,guilt-ridden,1,1,1
Religion,Catholics,rigid in beliefs,1,1,1
Religion,Catholics,prone to gossip,1,1,1
Religion,Catholics,hospitable,1,1,1
Religion,Muslims,peaceful,0,0,1
Religion,Muslims,communal,1,1,1
Religion,Muslims,hardworking,1,1,1
Religion,Muslims,conservative,1,1,1
Religion,Muslims,clannish,1,0,1
Religion,Muslims,traditional,1,1,0
Religion,Muslims,tolerant,0,1,0
Religion,Muslims,mysterious,1,1,0
Religion,Muslims,religious,1,1,1
Religion,Muslims,business-minded,1,1,0
Religion,Hindus,religious,1,1,0
Religion,Hindus,conservative,1,1,1
Religion,Hindus,festive,1,1,1
Religion,Hindus,superstitious,1,1,1
Religion,Hindus,family-oriented,1,1,1
Religion,Hindus,caste-conscious,1,1,1
Religion,Hindus,tolerant,1,1,1
Religion,Hindus,aloof,1,1,1
Religion,Hindus,wealthy,0,1,1
Religion,Hindus,spiritual,1,1,0
Nativity,Migrants (Bhaile),Hardworking,1,1,1
Nativity,Migrants (Bhaile),Culturally insensitive,1,1,1
Nativity,Migrants (Bhaile),lack civic sense,1,1,1
Nativity,Migrants (Bhaile),Money-minded,1,1,1
Nativity,Migrants (Bhaile),Uneducated,0,1,1
Nativity,Migrants (Bhaile),Adaptable,0,1,1
Nativity,Migrants (Bhaile),Disrupting local traditions,1,0,1
Nativity,Migrants (Bhaile),Resourceful,1,1,1
Nativity,Migrants (Bhaile),Transient,0,1,0
Nativity,Migrants (Bhaile),Community-oriented,1,0,1
Nativity,Migrants (Bhaile),Overcrowding local areas,1,1,1
Nativity,Migrants (Bhaile),Land grabbers,1,1,0
Nativity,Locals (Goans),Susegad (Laid-back/Lazy),1,1,1
Nativity,Locals (Goans),Fish-curry-rice eaters,1,1,1
Nativity,Locals (Goans),Alcohol-loving,1,1,1
Nativity,Locals (Goans),Christians,0,1,1
Nativity,Locals (Goans),Siesta takers,1,1,1
Nativity,Locals (Goans),Music and football lovers,1,1,1
Nativity,Locals (Goans),Westernized,0,1,1
Nativity,Locals (Goans),Hospitable,1,1,1
Nativity,Locals (Goans),Fun-loving,1,1,1
Nativity,Locals (Goans),Susceptible to vices,1,0,1
Nativity,Locals (Goans),Colonial mindset,0,0,0
Nativity,Locals (Goans),Party animals,0,1,1
Nativity,Locals (Goans),Xe0phobic towards outsiders,1,1,0
Nativity,Locals (Goans),Substance abusers,0,0,0
Nativity,Locals (Goans),Lesser educated,0,0,1
Nativity,Tourists,Beach-loving,1,1,1
Nativity,Tourists,Party animals,1,1,1
Nativity,Tourists,Cultural explorers,0,1,0
Nativity,Tourists,Sunburned,1,0,1
Nativity,Tourists,Uninhibited,1,1,0
Nativity,Tourists,Overly loud,1,1,1
Nativity,Tourists,Casual dressers,1,1,1
Nativity,Tourists,Disrespectful of local customs,1,1,1
Nativity,Tourists,Bargain hunters,1,1,0
Nativity,Tourists,Transient,1,1,0
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Flashy / Show-off,1,0,0
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Obsessed with gold,1,1,1
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),New money,1,1,1
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Naive / Easily duped,0,0,0
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Generous,0,1,0
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Builds 'Cake Houses',1,1,0
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Culturally disconnected,1,0,1
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Status-conscious,1,1,1
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),English-speaking aspirants,1,1,1
Nativity,Gulfies (Gulf Returnees/Kuwaitkars),Tech0logically backward (Old stereotype),1,1,0
Region,0rth Goans (Bardezkars),Laid-back lifestyle,1,1,1
Region,0rth Goans (Bardezkars),Beach lovers,0,1,1
Region,0rth Goans (Bardezkars),Party enthusiasts,1,1,1
Region,0rth Goans (Bardezkars),Culturally rich,1,1,1
Region,0rth Goans (Bardezkars),Stubborn,1,1,0
Region,0rth Goans (Bardezkars),Proud of their heritage,1,1,1
Region,0rth Goans (Bardezkars),Reluctant to change,1,1,0
Region,0rth Goans (Bardezkars),Loud and boisterous,1,1,0
Region,0rth Goans (Bardezkars),Superstitious,1,1,1
Region,0rth Goans (Bardezkars),Strong community ties,1,1,1
Region,South Goans (Sashtikars),Old money / Aristocratic,1,1,0
Region,South Goans (Sashtikars),Susegad (Extremely laid-back),1,1,1
Region,South Goans (Sashtikars),Socially exclusive,0,0,0
Region,South Goans (Sashtikars),Devoutly religious,0,1,0
Region,South Goans (Sashtikars),Resistant to change,1,0,0
Region,South Goans (Sashtikars),Dislike 0rth Goa chaos,1,1,0
Age,Youth,carefree,1,1,1
Age,Youth,party-loving,1,1,1
Age,Youth,adventurous,1,1,1
Age,Youth,rebellious,1,1,1
Age,Youth,laid-back,1,1,1
Age,Youth,lazy,1,1,1
Age,Youth,tech-savvy,0,1,0
Age,Youth,disrespectful,1,1,1
Age,Youth,culturally vibrant,0,1,0
Age,Youth,socially aware,0,1,0
Age,Youth,well-educated,1,1,1
Age,Elderly,wise and k0wledgeable,1,1,1
Age,Elderly,set in their ways,1,1,1
Age,Elderly,traditional and conservative,1,1,1
Age,Elderly,caretakers of culture,1,1,1
Age,Elderly,slow and forgetful,1,1,0
Age,Elderly,respectful and revered,1,1,0
Age,Elderly,0stalgic for the past,1,1,1
Age,Elderly,grumpy or irritable,1,1,1
Age,Elderly,spiritual or religious,1,1,1
Age,Elderly,dependent on family,1,1,1
Gender,Men,Laid-back,1,0,1
Gender,Men,Macho,1,1,1
Gender,Men,Caring father,0,1,0
Gender,Men,Alcohol-loving,1,1,1
Gender,Men,Traditional,1,1,1
Gender,Men,Lazy,1,0,0
Gender,Men,Hardworking,0,1,1
Gender,Men,Family-oriented,1,1,1
Gender,Men,Womanizer,0,1,0
Gender,Men,Friendly,1,1,1
Gender,Women,Caring mother,1,1,1
Gender,Women,Traditional homemaker,1,1,1
Gender,Women,Socially graceful,1,1,1
Gender,Women,Reluctant to speak up,0,1,1
Gender,Women,Overly emotional,0,1,1
Gender,Women,Religious devotee,1,1,1
Gender,Women,Expert cook,1,1,0
Gender,Women,Fashion-conscious,0,1,0
Gender,Women,Submissive partner,1,1,1
Gender,Women,Community organizer,1,0,1